n,original,l2,l1,noisy
121,0.00749952,0.0475627,0.0434398,0.0729124
122,0.00758238,0.0481848,0.0455448,0.0203762
123,0.00766966,0.0487833,0.0473893,0.00218328
124,0.00776217,0.0493377,0.0489496,-0.00257387
125,0.00786082,0.0498289,0.0502074,-0.0418407
126,0.00796668,0.0502405,0.0511508,0.0128234
127,0.008081,0.0505588,0.0517741,-0.00529642
128,0.00820518,0.0507742,0.0520773,0.0294073
129,0.00834082,0.0508807,0.0520662,-0.0188121
130,0.00848978,0.0508769,0.0517522,0.0281145
131,0.00865413,0.050766,0.0511515,0.0139807
132,0.00883622,0.0505553,0.0502847,0.0106494
133,0.00903872,0.0502568,0.0491766,0.0661168
134,0.00926459,0.049886,0.0478552,0.0332117
135,0.00951717,0.0494621,0.0463513,-0.00811237
136,0.00980017,0.0490071,0.0446977,0.0242026
137,0.0101177,0.0485451,0.0429287,0.00835949
138,0.0104743,0.0481014,0.0410791,0.0660051
139,0.010875,0.0477021,0.0391842,-0.0309007
140,0.0113253,0.0473725,0.0372784,-0.0150877
141,0.0118312,0.0471369,0.0353953,-0.0116397
142,0.0123992,0.0470177,0.0335665,0.024144
143,0.0130363,0.0470342,0.0318216,0.00844837
144,0.0137501,0.0472025,0.0301874,-0.00511165
145,0.0145488,0.047535,0.0286876,-0.054473
146,0.0154409,0.0480396,0.0273425,-0.0114653
147,0.0164359,0.0487199,0.0261683,-0.016394
148,0.0175432,0.0495752,0.0251775,0.0601589
149,0.0187731,0.0506003,0.0243782,0.00299006
150,0.0201362,0.0517862,0.0237741,0.00139884
151,0.0216435,0.0531204,0.0233647,0.046344
152,0.0233063,0.0545874,0.0231452,-0.00115181
153,0.0251361,0.0561696,0.0231067,0.00843505
154,0.0271445,0.057848,0.0232363,0.0380243
155,0.0293433,0.0596032,0.0235175,0.023897
156,0.0317441,0.0614161,0.0239307,0.0766161
157,0.0343582,0.0632688,0.0244532,0.0350598
158,0.0371968,0.0651454,0.0250605,0.0277142
159,0.0402702,0.0670332,0.025726,0.0836221
160,0.0435883,0.0689224,0.0264222,0.0466418
161,0.0471601,0.0708076,0.0271213,0.0670242
162,0.0509935,0.0726875,0.0277957,0.0542795
163,0.055095,0.0745651,0.0284186,0.0684555
164,0.0594698,0.0764479,0.0289652,0.0173264
165,0.0641215,0.0783478,0.0294125,0.0814154
166,0.0690519,0.0802801,0.0297409,0.043062
167,0.0742605,0.0822635,0.0299338,0.033749
168,0.0797448,0.0843191,0.0299788,0.0778606
169,0.0855,0.0864696,0.0298675,0.0926287
170,0.0915187,0.0887381,0.0295963,0.09064
171,0.0977908,0.0911476,0.0291659,0.104106
172,0.104303,0.0937191,0.028582,0.108601
173,0.111041,0.0964713,0.0278547,0.126259
174,0.117985,0.0994191,0.0269984,0.126009
175,0.125114,0.102573,0.0260315,0.13533
176,0.132404,0.105937,0.024976,0.158659
177,0.139827,0.109512,0.0238564,0.102647
178,0.147354,0.113288,0.0226999,0.115705
179,0.154953,0.117251,0.0215345,0.145361
180,0.162588,0.121381,0.0203893,0.171647
181,0.170223,0.125648,0.0192928,0.156971
182,0.177819,0.130018,0.0182725,0.105616
183,0.185336,0.134451,0.0173541,0.195045
184,0.192732,0.138903,0.0165601,0.173879
185,0.199964,0.143325,0.01591,0.179264
186,0.20699,0.147665,0.0154188,0.21001
187,0.213767,0.151871,0.0150973,0.237917
188,0.220251,0.15589,0.014951,0.240035
189,0.226402,0.159672,0.0149804,0.227064
190,0.232177,0.163168,0.0151806,0.244037
191,0.23754,0.166335,0.0155416,0.207022
192,0.242452,0.169132,0.0160488,0.213647
193,0.246879,0.171529,0.0166827,0.228767
194,0.250792,0.1735,0.0174202,0.266246
195,0.25416,0.175028,0.0182351,0.262882
196,0.256961,0.176103,0.0190987,0.258448
197,0.259175,0.176725,0.0199811,0.252267
198,0.260784,0.176902,0.0208515,0.292496
199,0.261778,0.176649,0.0216802,0.304492
200,0.26215,0.17599,0.0224385,0.269554
201,0.261898,0.174953,0.0231004,0.224388
202,0.261023,0.173574,0.0236432,0.261277
203,0.259533,0.17189,0.0240482,0.23291
204,0.257439,0.169944,0.0243016,0.267174
205,0.254757,0.167778,0.0243948,0.277252
206,0.251508,0.165437,0.0243247,0.251789
207,0.247715,0.16296,0.0240941,0.254181
208,0.243407,0.160386,0.0237114,0.172256
209,0.238615,0.157752,0.0231904,0.245654
210,0.233372,0.155085,0.0225501,0.193656
211,0.227716,0.152411,0.0218139,0.222547
212,0.221685,0.149747,0.0210091,0.246348
213,0.21532,0.147103,0.0201657,0.200989
214,0.208664,0.144485,0.0193155,0.187891
215,0.201758,0.14189,0.0184913,0.206859
216,0.194645,0.139309,0.0177257,0.187543
217,0.187369,0.136729,0.0170498,0.170405
218,0.179973,0.134134,0.0164923,0.170235
219,0.172497,0.131501,0.0160785,0.145372
220,0.164982,0.12881,0.0158294,0.142121
221,0.157468,0.126038,0.0157612,0.192631
222,0.14999,0.123162,0.015884,0.126456
223,0.142584,0.120166,0.0162023,0.151364
224,0.135282,0.117033,0.016714,0.0862701
225,0.128114,0.113754,0.0174111,0.0996281
226,0.121107,0.110326,0.0182792,0.0744702
227,0.114285,0.106752,0.0192986,0.113556
228,0.10767,0.103043,0.0204442,0.146479
229,0.10128,0.0992183,0.021687,0.0796172
230,0.095131,0.0953033,0.0229945,0.102777
231,0.0892359,0.0913318,0.0243318,0.100624
232,0.0836048,0.0873435,0.0256633,0.0358548
233,0.0782451,0.0833839,0.0269528,0.0565479
234,0.0731618,0.079502,0.0281659,0.0622335
235,0.0683573,0.0757499,0.0292701,0.0526375
236,0.0638322,0.0721799,0.0302366,0.061026
237,0.0595847,0.0688436,0.031041,0.067407
238,0.0556114,0.0657896,0.0316641,-0.00560637
239,0.0519072,0.0630614,0.0320925,0.0788791
240,0.0484655,0.0606961,0.0323194,-0.0114966
241,0.0452786,0.0587222,0.0323445,0.0616478
242,0.0423375,0.0571588,0.0321741,0.0195547
243,0.0396327,0.0560139,0.031821,0.0138852
244,0.0371538,0.0552839,0.0313043,0.0494671
245,0.0348898,0.0549533,0.0306481,0.0853068
246,0.0328295,0.0549945,0.0298815,0.0216644
247,0.0309615,0.0553686,0.0290371,0.0329843
248,0.0292744,0.0560258,0.0281501,0.00297555
249,0.0277568,0.0569074,0.0272571,0.0233573
250,0.0263975,0.0579471,0.026395,0.0281054
251,0.0251859,0.0590733,0.0255993,0.0531458
252,0.0241115,0.0602114,0.0249035,0.0376187
253,0.0231648,0.0612868,0.0243373,-0.00693839
254,0.0223371,0.0622272,0.0239262,0.0457379
255,0.0216204,0.062966,0.0236901,0.0391074
256,0.0210084,0.0634447,0.0236429,0.0642359
257,0.0204962,0.063616,0.0237916,0.0319826
258,0.020081,0.0634461,0.0241367,0.00915626
259,0.0197625,0.062917,0.0246712,0.0184077
260,0.0195437,0.0620282,0.0253816,-0.0267074
261,0.0194315,0.0607978,0.0262479,-0.0186057
262,0.0194381,0.0592639,0.0272442,0.0784624
263,0.0195814,0.057484,0.0283396,0.0170889
264,0.0198871,0.0555348,0.0294991,0.0165151
265,0.0203896,0.0535114,0.030685,0.0142346
266,0.0211338,0.0515249,0.0318575,0.0440622
267,0.0221763,0.0497006,0.0329769,0.0207755
268,0.0235871,0.048175,0.0340039,0.00970329
269,0.0254508,0.0470918,0.0349017,0.0193822
270,0.0278669,0.0465988,0.0356366,0.0439623
271,0.0309511,0.0468431,0.0361796,-0.000224228
272,0.0348339,0.0479673,0.036507,0.0399062
273,0.0396604,0.0501046,0.0366013,0.0878278
274,0.0455882,0.0533743,0.036452,0.0222843
275,0.0527845,0.057878,0.0360555,0.0838606
276,0.0614229,0.0636954,0.0354156,0.110283
277,0.0716789,0.0708806,0.0345435,0.103267
278,0.0837253,0.0794593,0.033457,0.0778848
279,0.0977262,0.0894267,0.0321803,0.0452302
280,0.113831,0.100745,0.0307433,0.105831
281,0.132168,0.113345,0.0291804,0.0825898
282,0.152835,0.127121,0.0275296,0.153279
283,0.175894,0.141939,0.0258312,0.16974
284,0.201359,0.157631,0.0241268,0.238646
285,0.229185,0.174004,0.0224577,0.239693
286,0.259261,0.19084,0.0208638,0.30587
287,0.291391,0.207898,0.0193823,0.307362
288,0.325288,0.224925,0.0180469,0.320085
289,0.360558,0.241656,0.0168862,0.346799
290,0.3967,0.257823,0.0159234,0.360623
291,0.433096,0.273157,0.0151755,0.468607
292,0.469018,0.287398,0.0146528,0.476253
293,0.503641,0.300299,0.0143589,0.491988
294,0.536065,0.311632,0.0142904,0.518561
295,0.565346,0.321195,0.0144372,0.558197
296,0.590535,0.328812,0.0147833,0.610978
297,0.610729,0.334344,0.0153069,0.612307
298,0.625121,0.337687,0.0159816,0.61508
299,0.633049,0.338776,0.0167772,0.630727
300,0.634047,0.33759,0.0176608,0.659822
301,0.627881,0.334148,0.0185978,0.61811
302,0.614575,0.32851,0.0195533,0.597584
303,0.59442,0.320779,0.020493,0.57466
304,0.567969,0.311094,0.0213843,0.569653
305,0.536007,0.29963,0.0221977,0.555046
306,0.499517,0.286593,0.0229073,0.548011
307,0.459625,0.272215,0.0234916,0.50022
308,0.417539,0.256751,0.0239343,0.376408
309,0.374488,0.24047,0.0242248,0.386266
310,0.331659,0.22365,0.0243579,0.296115
311,0.290143,0.206574,0.0243344,0.275503
312,0.25089,0.189522,0.0241605,0.23348
313,0.214673,0.172763,0.0238478,0.207821
314,0.182074,0.156555,0.0234124,0.201328
315,0.153473,0.141133,0.0228744,0.150831
316,0.12906,0.126711,0.022257,0.139498
317,0.108847,0.113472,0.0215859,0.144914
318,0.0926958,0.101569,0.0208879,0.0993287
319,0.0803476,0.0911218,0.0201899,0.057624
320,0.0714545,0.0822134,0.0195186,0.0628392
321,0.0656112,0.0748925,0.0188987,0.0316173
322,0.0623847,0.0691723,0.0183524,0.0731216
323,0.0613392,0.0650318,0.017899,0.0443253
324,0.0620574,0.0624185,0.0175537,0.0736829
325,0.0641554,0.0612505,0.0173272,0.0782891
326,0.0672931,0.0614204,0.017226,0.0732232
327,0.0711801,0.062799,0.0172514,0.0705379
328,0.0755769,0.06524,0.0174003,0.101146
329,0.0802936,0.0685842,0.0176647,0.052831
330,0.0851858,0.0726647,0.0180327,0.0714721
331,0.0901494,0.0773113,0.0184888,0.0629264
332,0.0951139,0.0823556,0.0190142,0.110338
333,0.100036,0.0876348,0.019588,0.0421681
334,0.104895,0.0929963,0.0201878,0.099649
335,0.109684,0.0983008,0.0207906,0.155283
336,0.114408,0.103426,0.0213736,0.115453
337,0.119078,0.108267,0.0219149,0.0436357
338,0.123711,0.112741,0.0223947,0.117755
339,0.128323,0.116785,0.0227956,0.132853
340,0.132931,0.120361,0.0231033,0.15081
341,0.137549,0.12345,0.0233072,0.134377
342,0.142191,0.126052,0.0234006,0.0967024
343,0.146868,0.128191,0.023381,0.16421
344,0.151588,0.129903,0.02325,0.17102
345,0.156358,0.131242,0.0230134,0.167344
346,0.161182,0.132271,0.0226807,0.1497
347,0.166061,0.133063,0.0222648,0.139609
348,0.170998,0.133698,0.0217814,0.183679
349,0.17599,0.134255,0.0212486,0.20407
350,0.181038,0.134815,0.0206861,0.172996
351,0.186137,0.135455,0.0201142,0.159878
352,0.191286,0.136245,0.0195537,0.199668
353,0.196479,0.137246,0.0190242,0.178673
354,0.201712,0.13851,0.0185444,0.211606
355,0.206981,0.140077,0.0181306,0.224834
356,0.21228,0.141974,0.0177966,0.216494
357,0.217604,0.144214,0.0175533,0.203598
358,0.222946,0.146797,0.0174078,0.234403
359,0.228302,0.149711,0.0173638,0.229326
360,0.233663,0.152932,0.0174211,0.200157
361,0.239025,0.156424,0.0175761,0.234056
362,0.24438,0.160144,0.0178212,0.237166
363,0.249721,0.164039,0.0181462,0.281155
364,0.255041,0.168054,0.0185377,0.271918
365,0.260334,0.17213,0.0189801,0.271329
366,0.265592,0.176205,0.0194565,0.317398
367,0.270807,0.18022,0.0199485,0.245736
368,0.275973,0.184121,0.0204379,0.290045
369,0.281081,0.187857,0.0209064,0.279826
370,0.286125,0.191382,0.021337,0.263252
371,0.291096,0.194661,0.0217143,0.298008
372,0.295988,0.197667,0.0220249,0.28141
373,0.300792,0.200382,0.0222583,0.295816
374,0.305501,0.202798,0.0224068,0.27099
375,0.310108,0.204915,0.022466,0.319212
376,0.314606,0.206745,0.0224348,0.344905
377,0.318986,0.208306,0.0223153,0.318674
378,0.323242,0.209623,0.0221132,0.324791
379,0.327367,0.21073,0.0218369,0.285139
380,0.331354,0.211661,0.0214973,0.287084
381,0.335197,0.212457,0.0211077,0.334264
382,0.338888,0.213159,0.0206831,0.337637
383,0.342421,0.213805,0.0202393,0.364424
384,0.34579,0.214436,0.0197929,0.343513
385,0.34899,0.215085,0.0193602,0.352191
386,0.352015,0.215783,0.0189569,0.352621
387,0.354859,0.216554,0.0185973,0.349155
388,0.357517,0.217417,0.0182939,0.351875
389,0.359985,0.218382,0.0180571,0.39787
390,0.362259,0.219452,0.0178946,0.378772
391,0.364333,0.220623,0.0178113,0.405446
392,0.366205,0.221884,0.0178091,0.361907
393,0.367872,0.223216,0.0178869,0.412828
394,0.369329,0.224595,0.0180408,0.310702
395,0.370575,0.225992,0.018264,0.364067
396,0.371607,0.227375,0.0185473,0.360775
397,0.372424,0.228708,0.0188795,0.374515
398,0.373024,0.229955,0.0192476,0.406613
399,0.373406,0.231079,0.0196377,0.391546
400,0.37357,0.232045,0.0200351,0.369057
401,0.373515,0.232822,0.020425,0.393815
402,0.373241,0.233381,0.0207934,0.395157
403,0.372749,0.233698,0.0211269,0.329159
404,0.37204,0.233756,0.0214139,0.371938
405,0.371116,0.233543,0.0216446,0.331435
406,0.369978,0.233054,0.0218112,0.357297
407,0.368629,0.23229,0.0219086,0.388194
408,0.367071,0.231259,0.0219344,0.357907
409,0.365307,0.229975,0.0218887,0.359263
410,0.363341,0.228458,0.0217743,0.407402
411,0.361176,0.226732,0.0215964,0.380107
412,0.358816,0.224825,0.0213627,0.402794
413,0.356266,0.222768,0.0210825,0.338656
414,0.35353,0.220593,0.0207671,0.379421
415,0.350613,0.218333,0.0204286,0.332305
416,0.347522,0.216021,0.0200798,0.369254
417,0.344261,0.213688,0.0197339,0.322936
418,0.340836,0.211361,0.0194036,0.311385
419,0.337253,0.209065,0.0191008,0.343577
420,0.333519,0.206821,0.0188363,0.307098
421,0.32964,0.204642,0.0186195,0.297778
422,0.325623,0.20254,0.0184574,0.331827
423,0.321475,0.200519,0.0183554,0.355071
424,0.317203,0.198577,0.0183162,0.364282
425,0.312814,0.19671,0.0183405,0.322688
426,0.308315,0.194905,0.0184262,0.297743
427,0.303713,0.193149,0.0185694,0.259196
428,0.299017,0.191423,0.0187639,0.307611
429,0.294234,0.189707,0.0190018,0.299673
430,0.289371,0.187978,0.0192736,0.304756
431,0.284435,0.186214,0.0195689,0.287998
432,0.279435,0.184392,0.0198765,0.244042
433,0.274378,0.182491,0.020185,0.272098
434,0.26927,0.180492,0.020483,0.283333
435,0.264121,0.17838,0.0207599,0.224177
436,0.258936,0.176141,0.021006,0.256799
437,0.253724,0.173769,0.021213,0.236648
438,0.248491,0.171259,0.0213739,0.280305
439,0.243244,0.168614,0.0214839,0.238209
440,0.237991,0.165839,0.02154,0.207176
441,0.232737,0.162944,0.0215414,0.190203
442,0.22749,0.159946,0.0214893,0.222796
443,0.222256,0.156862,0.0213868,0.224438
444,0.217041,0.153714,0.021239,0.191012
445,0.211851,0.150527,0.0210524,0.187636
446,0.206692,0.147326,0.0208353,0.195906
447,0.201569,0.144137,0.0205964,0.200698
448,0.196488,0.140986,0.0203457,0.225068
449,0.191454,0.137899,0.0200932,0.18969
450,0.186471,0.134899,0.0198488,0.233033
451,0.181545,0.132005,0.0196221,0.140878
452,0.176679,0.129236,0.019422,0.177183
453,0.171878,0.126604,0.0192561,0.126336
454,0.167146,0.124119,0.0191309,0.213676
455,0.162486,0.121785,0.0190513,0.17219
456,0.157901,0.119604,0.0190204,0.114408
457,0.153395,0.11757,0.0190397,0.156603
458,0.148971,0.115676,0.0191087,0.124738
459,0.144631,0.11391,0.0192255,0.168162
460,0.140378,0.112258,0.0193863,0.1114
461,0.136214,0.110701,0.019586,0.0985503
462,0.13214,0.10922,0.0198182,0.121109
463,0.128158,0.107796,0.0200757,0.0783379
464,0.12427,0.106407,0.0203506,0.0903916
465,0.120477,0.105034,0.0206346,0.119242
466,0.116779,0.103659,0.0209194,0.137913
467,0.113178,0.102264,0.0211969,0.0967892
468,0.109674,0.100835,0.0214598,0.0891987
469,0.106268,0.0993618,0.0217016,0.0705442
470,0.102959,0.0978369,0.0219167,0.0826795
471,0.0997477,0.0962565,0.0221008,0.121642
472,0.0966336,0.0946207,0.0222514,0.119559
473,0.0936164,0.0929333,0.0223669,0.144956
474,0.0906956,0.091202,0.0224476,0.0625545
475,0.0878705,0.0894374,0.0224951,0.114792
476,0.0851402,0.0876531,0.0225126,0.105173
477,0.0825037,0.085865,0.0225045,0.0947383
478,0.07996,0.0840906,0.022476,0.0834164
479,0.0775078,0.0823481,0.0224336,0.0816239
480,0.0751459,0.0806565,0.0223843,0.0784949
481,0.0728726,0.0790338,0.0223354,0.114741
482,0.0706867,0.0774972,0.0222944,0.0765676
483,0.0685863,0.0760619,0.0222686,0.0049924
484,0.0665699,0.0747407,0.0222652,0.0872607
485,0.0646357,0.0735438,0.0222903,0.0676502
486,0.0627819,0.0724778,0.0223495,0.0556694
487,0.0610066,0.0715461,0.0224472,0.0810469
488,0.0593079,0.0707484,0.0225868,0.0751767
489,0.0576838,0.0700808,0.0227703,0.0486791
490,0.0561324,0.0695361,0.0229983,0.0661967
491,0.0546517,0.0691038,0.0232701,0.0950434
492,0.0532396,0.0687706,0.0235836,0.0362966
493,0.0518941,0.0685211,0.0239353,0.0224519
494,0.0506131,0.0683379,0.0243206,0.0525563
495,0.0493946,0.0682028,0.0247336,0.0772609
496,0.0482366,0.0680968,0.0251674,0.0462817
497,0.0471369,0.0680014,0.0256142,0.0342681
498,0.0460937,0.0678988,0.0260658,0.0262731
499,0.0451048,0.0677728,0.026513,0.0514248
500,0.0441683,0.0676092,0.0269466,0.0408275
501,0.0432823,0.0673961,0.027357,0.0681315
502,0.0424447,0.067125,0.0277349,0.0373016
503,0.0416537,0.0667899,0.0280709,0.0894506
504,0.0409073,0.0663885,0.0283561,0.0593236
505,0.0402039,0.0659219,0.028582,-0.00390993
506,0.0395415,0.065394,0.0287409,0.0529795
507,0.0389184,0.0648122,0.0288258,0.0689051
508,0.0383328,0.0641862,0.0288307,0.0529199
509,0.0377832,0.0635282,0.0287505,0.0456521
510,0.0372679,0.0628521,0.0285815,0.0720295
511,0.0367852,0.0621728,0.0283211,0.0170387
512,0.0363336,0.0615062,0.0279682,0.0359647
513,0.0359118,0.0608679,0.0275233,0.0344519
514,0.0355181,0.060273,0.0269881,0.0805013
515,0.0351512,0.0597352,0.0263664,-0.0190605
516,0.0348097,0.0592668,0.0256633,0.000417368
517,0.0344925,0.0588777,0.0248859,0.0637957
518,0.034198,0.0585753,0.0240429,0.0792149
519,0.0339253,0.058364,0.0231447,0.0111872
520,0.0336731,0.0582455,0.0222036,-0.00792121
521,0.0334403,0.0582182,0.021233,0.0672781
522,0.0332258,0.0582776,0.0202483,0.0471914
523,0.0330286,0.0584164,0.0192658,0.00903894
524,0.0328478,0.0586246,0.0183027,0.0700471
525,0.0326823,0.0588902,0.0173772,0.0460433
526,0.0325313,0.0591994,0.0165079,0.0388338
527,0.032394,0.0595371,0.015713,0.0904808
528,0.0322694,0.0598877,0.0150106,0.0484536
529,0.0321569,0.0602353,0.0144179,0.0409057
530,0.0320557,0.0605647,0.0139504,-0.0320932
531,0.0319651,0.0608615,0.0136221,0.058164
532,0.0318844,0.061113,0.0134442,0.0497464
533,0.031813,0.0613083,0.0134254,-0.00673188
534,0.0317503,0.0614391,0.0135707,0.0253462
535,0.0316957,0.0614996,0.0138815,-0.00908
536,0.0316488,0.0614868,0.0143554,0.0797343
